stage,res_type,res_id,res_number
101001,0,3,1
101002,0,3,2
101003,0,3,3
101004,0,3,4
101005,0,3,5
101006,0,3,6
101007,0,3,7
101008,0,3,8
101009,0,3,9
101010,0,3,10
102001,0,3,11
102002,0,3,12
102003,0,3,13
102004,0,3,14
102005,0,3,15
102006,0,3,16
102007,0,3,17
102008,0,3,18
102009,0,3,19
102010,0,3,20
102011,0,3,21
102012,0,3,22
102013,0,3,23
102014,0,3,24
102015,0,3,25
103001,0,3,26
103002,0,3,27
103003,0,3,28
103004,0,3,29
103005,0,3,30
103006,0,3,31
103007,0,3,32
103008,0,3,33
103009,0,3,34
103010,0,3,35
103011,0,3,36
103012,0,3,37
103013,0,3,38
103014,0,3,39
103015,0,3,40
103016,0,3,41
103017,0,3,42
103018,0,3,43
103019,0,3,44
103020,0,3,45
104001,0,3,46
104002,0,3,47
104003,0,3,48
104004,0,3,49
104005,0,3,50
104006,0,3,51
104007,0,3,52
104008,0,3,53
104009,0,3,54
104010,0,3,55
104011,0,3,56
104012,0,3,57
104013,0,3,58
104014,0,3,59
104015,0,3,60
104016,0,3,61
104017,0,3,62
104018,0,3,63
104019,0,3,64
104020,0,3,65
104021,0,3,66
104022,0,3,67
104023,0,3,68
104024,0,3,69
104025,0,3,70
105001,0,3,71
105002,0,3,72
105003,0,3,73
105004,0,3,74
105005,0,3,75
105006,0,3,76
105007,0,3,77
105008,0,3,78
105009,0,3,79
105010,0,3,80
105011,0,3,81
105012,0,3,82
105013,0,3,83
105014,0,3,84
105015,0,3,85
105016,0,3,86
105017,0,3,87
105018,0,3,88
105019,0,3,89
105020,0,3,90
105021,0,3,91
105022,0,3,92
105023,0,3,93
105024,0,3,94
105025,0,3,95
105026,0,3,96
105027,0,3,97
105028,0,3,98
105029,0,3,99
105030,0,3,100
201001,0,3,101
201002,0,3,102
201003,0,3,103
201004,0,3,104
201005,0,3,105
201006,0,3,106
201007,0,3,107
201008,0,3,108
201009,0,3,109
201010,0,3,110
201011,0,3,111
201012,0,3,112
201013,0,3,113
201014,0,3,114
201015,0,3,115
202001,0,3,116
202002,0,3,117
202003,0,3,118
202004,0,3,119
202005,0,3,120
202006,0,3,121
202007,0,3,122
202008,0,3,123
202009,0,3,124
202010,0,3,125
202011,0,3,126
202012,0,3,127
202013,0,3,128
202014,0,3,129
202015,0,3,130
202016,0,3,131
202017,0,3,132
202018,0,3,133
202019,0,3,134
202020,0,3,135
203001,0,3,136
203002,0,3,137
203003,0,3,138
203004,0,3,139
203005,0,3,140
203006,0,3,141
203007,0,3,142
203008,0,3,143
203009,0,3,144
203010,0,3,145
203011,0,3,146
203012,0,3,147
203013,0,3,148
203014,0,3,149
203015,0,3,150
203016,0,3,151
203017,0,3,152
203018,0,3,153
203019,0,3,154
203020,0,3,155
203021,0,3,156
203022,0,3,157
203023,0,3,158
203024,0,3,159
203025,0,3,160
204001,0,3,161
204002,0,3,162
204003,0,3,163
204004,0,3,164
204005,0,3,165
204006,0,3,166
204007,0,3,167
204008,0,3,168
204009,0,3,169
204010,0,3,170
204011,0,3,171
204012,0,3,172
204013,0,3,173
204014,0,3,174
204015,0,3,175
204016,0,3,176
204017,0,3,177
204018,0,3,178
204019,0,3,179
204020,0,3,180
204021,0,3,181
204022,0,3,182
204023,0,3,183
204024,0,3,184
204025,0,3,185
204026,0,3,186
204027,0,3,187
204028,0,3,188
204029,0,3,189
204030,0,3,190
205001,0,3,191
205002,0,3,192
205003,0,3,193
205004,0,3,194
205005,0,3,195
205006,0,3,196
205007,0,3,197
205008,0,3,198
205009,0,3,199
205010,0,3,200
205011,0,3,201
205012,0,3,202
205013,0,3,203
205014,0,3,204
205015,0,3,205
205016,0,3,206
205017,0,3,207
205018,0,3,208
205019,0,3,209
205020,0,3,210
205021,0,3,211
205022,0,3,212
205023,0,3,213
205024,0,3,214
205025,0,3,215
205026,0,3,216
205027,0,3,217
205028,0,3,218
205029,0,3,219
205030,0,3,220
205031,0,3,221
205032,0,3,222
205033,0,3,223
205034,0,3,224
205035,0,3,225
206001,0,3,226
206002,0,3,227
206003,0,3,228
206004,0,3,229
206005,0,3,230
206006,0,3,231
206007,0,3,232
206008,0,3,233
206009,0,3,234
206010,0,3,235
206011,0,3,236
206012,0,3,237
206013,0,3,238
206014,0,3,239
206015,0,3,240
206016,0,3,241
206017,0,3,242
206018,0,3,243
206019,0,3,244
206020,0,3,245
206021,0,3,246
206022,0,3,247
206023,0,3,248
206024,0,3,249
206025,0,3,250
206026,0,3,251
206027,0,3,252
206028,0,3,253
206029,0,3,254
206030,0,3,255
206031,0,3,256
